"Visualization ID","Mode","Statistic","Year","Value","Units","Name","Year ","Percent_1","change_from_previous_year_1","Commuting Mode","Rank","Date","Year 1"
"Figure 2-10","Number of household drivers","1","2001","1.2",,"Average Number of Vehicles per Household by Number of Household Drivers: 2009","2001",,,,,,"2001"
"Figure 2-10","Number of household drivers","2","2001","2.2",,"Average Number of Vehicles per Household by Number of Household Drivers: 2009","2001",,,,,,"2001"
"Figure 2-10","Number of household drivers","3","2001","3",,"Average Number of Vehicles per Household by Number of Household Drivers: 2009","2001",,,,,,"2001"
"Figure 2-10","Number of household drivers","4","2001","3.8",,"Average Number of Vehicles per Household by Number of Household Drivers: 2009","2001",,,,,,"2001"
"Figure 2-10","Number of household drivers","5","2001","4.2",,"Average Number of Vehicles per Household by Number of Household Drivers: 2009","2001",,,,,,"2001"
"Figure 2-10","Number of household drivers","6","2001","4.9",,"Average Number of Vehicles per Household by Number of Household Drivers: 2009","2001",,,,,,"2001"
"Figure 2-10","Number of household drivers","7+","2001","6.7",,"Average Number of Vehicles per Household by Number of Household Drivers: 2009","2001",,,,,,"2001"
"Figure 2-10","Number of household drivers","1","2009","1.1",,"Average Number of Vehicles per Household by Number of Household Drivers: 2022","2009",,,,,,"2009"
"Figure 2-10","Number of household drivers","2","2009","2.2",,"Average Number of Vehicles per Household by Number of Household Drivers: 2022","2009",,,,,,"2009"
"Figure 2-10","Number of household drivers","3","2009","3",,"Average Number of Vehicles per Household by Number of Household Drivers: 2022","2009",,,,,,"2009"
"Figure 2-10","Number of household drivers","4","2009","3.8",,"Average Number of Vehicles per Household by Number of Household Drivers: 2022","2009",,,,,,"2009"
"Figure 2-10","Number of household drivers","5","2009","4.4",,"Average Number of Vehicles per Household by Number of Household Drivers: 2022","2009",,,,,,"2009"
"Figure 2-10","Number of household drivers","6","2009","4.7",,"Average Number of Vehicles per Household by Number of Household Drivers: 2022","2009",,,,,,"2009"
"Figure 2-10","Number of household drivers","7+","2009","5.3",,"Average Number of Vehicles per Household by Number of Household Drivers: 2022","2009",,,,,,"2009"
"Figure 2-10","Number of household drivers","1","2017","1.2",,"Average Number of Vehicles per Household by Number of Household Drivers: 2022","2017",,,,,,"2017"
"Figure 2-10","Number of household drivers","2","2017","2.2",,"Average Number of Vehicles per Household by Number of Household Drivers: 2022","2017",,,,,,"2017"
"Figure 2-10","Number of household drivers","3","2017","3.1",,"Average Number of Vehicles per Household by Number of Household Drivers: 2022","2017",,,,,,"2017"
"Figure 2-10","Number of household drivers","4","2017","4",,"Average Number of Vehicles per Household by Number of Household Drivers: 2022","2017",,,,,,"2017"
"Figure 2-10","Number of household drivers","5","2017","4.6",,"Average Number of Vehicles per Household by Number of Household Drivers: 2022","2017",,,,,,"2017"
"Figure 2-10","Number of household drivers","6","2017","5.4",,"Average Number of Vehicles per Household by Number of Household Drivers: 2022","2017",,,,,,"2017"
"Figure 2-10","Number of household drivers","7+","2017","6",,"Average Number of Vehicles per Household by Number of Household Drivers: 2022","2017",,,,,,"2017"
"Figure 2-10","Number of household drivers","1","2022","1.2",,"Average Number of Vehicles per Household by Number of Household Drivers: 2022","2022",,,,,,"2022"
"Figure 2-10","Number of household drivers","2","2022","2.1",,"Average Number of Vehicles per Household by Number of Household Drivers: 2022","2022",,,,,,"2022"
"Figure 2-10","Number of household drivers","3","2022","2.9",,"Average Number of Vehicles per Household by Number of Household Drivers: 2022","2022",,,,,,"2022"
"Figure 2-10","Number of household drivers","4","2022","3.7",,"Average Number of Vehicles per Household by Number of Household Drivers: 2022","2022",,,,,,"2022"
"Figure 2-10","Number of household drivers","5","2022","4.3",,"Average Number of Vehicles per Household by Number of Household Drivers: 2022","2022",,,,,,"2022"
"Figure 2-10","Number of household drivers","6","2022","5.4",,"Average Number of Vehicles per Household by Number of Household Drivers: 2022","2022",,,,,,"2022"
"Figure 2-10","Number of household drivers","7+","2022","6.6",,"Average Number of Vehicles per Household by Number of Household Drivers: 2022","2022",,,,,,"2022"
"Figure 2-11","Bike-share stations","Bike-share stations","2016","3,378",,"Bike-share Connectivity to Scheduled Public Transportation","2016",,,,,,"2016"
"Figure 2-11","With intermodal connection","With intermodal connection","2016","2,600",,"Bike-share Connectivity to Scheduled Public Transportation","2016","76.97",,,,,"2016"
"Figure 2-11","Connection to at least one other mode","Connect with one other mode","2016","2,207",,"Bike-share Connectivity to Scheduled Public Transportation","2016","65.33",,,,,"2016"
"Figure 2-11","Connection to at least one other mode","Connect with two other modes","2016","382",,"Bike-share Connectivity to Scheduled Public Transportation","2016","11.31",,,,,"2016"
"Figure 2-11","Connection to at least one other mode","Connect with three other modes","2016","11",,"Bike-share Connectivity to Scheduled Public Transportation","2016","0.33",,,,,"2016"
"Figure 2-11","Near connectivity","Near connectivity","2016","451",,"Bike-share Connectivity to Scheduled Public Transportation","2016","13.35",,,,,"2016"
"Figure 2-11","No connectivity","No connectivity","2016","326",,"Bike-share Connectivity to Scheduled Public Transportation","2016","9.65",,,,,"2016"
"Figure 2-11","No service","No service","2016","1",,"Bike-share Connectivity to Scheduled Public Transportation","2016","0.03",,,,,"2016"
"Figure 2-11","Bike-share stations","Bike-share stations","2022",,,"Bike-share Connectivity to Scheduled Public Transportation","2022",,,,,,"2022"
"Figure 2-11","With intermodal connection","With intermodal connection","2022",,,"Bike-share Connectivity to Scheduled Public Transportation","2022",,,,,,"2022"
"Figure 2-11","Connection to at least one other mode","Connect with one other mode","2022","9,912",,"Bike-share Connectivity to Scheduled Public Transportation","2022","64",,,,,"2022"
"Figure 2-11","Connection to at least one other mode","Connect with two other modes","2022",,,"Bike-share Connectivity to Scheduled Public Transportation","2022",,,,,,"2022"
"Figure 2-11","Connection to at least one other mode","Connect with three other modes","2022",,,"Bike-share Connectivity to Scheduled Public Transportation","2022",,,,,,"2022"
"Figure 2-11","Near connectivity","Near connectivity","2022","2,478",,"Bike-share Connectivity to Scheduled Public Transportation","2022","16",,,,,"2022"
"Figure 2-11","No connectivity","No connectivity","2022","3,098",,"Bike-share Connectivity to Scheduled Public Transportation","2022","20",,,,,"2022"
"Figure 2-11","No service","No service","2022",,,"Bike-share Connectivity to Scheduled Public Transportation","2022",,,,,,"2022"
"Figure 2-13","U.S. Airline Passenger Enplanements","International","2000","5,179","Thousands","U.S. Airline Passenger Enplanements","2000",,,,,"01/01/2000","2000"
"Figure 2-13","U.S. Airline Passenger Enplanements","International","2000","5,445","Thousands","U.S. Airline Passenger Enplanements","2000",,,,,"02/01/2000","2000"
"Figure 2-13","U.S. Airline Passenger Enplanements","International","2000","5,553","Thousands","U.S. Airline Passenger Enplanements","2000",,,,,"03/01/2000","2000"
"Figure 2-13","U.S. Airline Passenger Enplanements","International","2000","5,701","Thousands","U.S. Airline Passenger Enplanements","2000",,,,,"04/01/2000","2000"
"Figure 2-13","U.S. Airline Passenger Enplanements","International","2000","5,831","Thousands","U.S. Airline Passenger Enplanements","2000",,,,,"05/01/2000","2000"
"Figure 2-13","U.S. Airline Passenger Enplanements","International","2000","5,736","Thousands","U.S. Airline Passenger Enplanements","2000",,,,,"06/01/2000","2000"
"Figure 2-13","U.S. Airline Passenger Enplanements","International","2000","5,820","Thousands","U.S. Airline Passenger Enplanements","2000",,,,,"07/01/2000","2000"
"Figure 2-13","U.S. Airline Passenger Enplanements","International","2000","5,913","Thousands","U.S. Airline Passenger Enplanements","2000",,,,,"08/01/2000","2000"
"Figure 2-13","U.S. Airline Passenger Enplanements","International","2000","6,430","Thousands","U.S. Airline Passenger Enplanements","2000",,,,,"09/01/2000","2000"
